"filename", "language", "TypeScript", "XML", "TypeScript JSX", "Less", "CSS", "comment", "blank", "total"
"c:\Users\zhangyangli\Desktop\react-admin-antd\react-admin-hooks\src\App.less", "Less", 0, 0, 0, 23, 0, 0, 2, 25
"c:\Users\zhangyangli\Desktop\react-admin-antd\react-admin-hooks\src\App.tsx", "TypeScript JSX", 0, 0, 15, 0, 0, 0, 7, 22
"c:\Users\zhangyangli\Desktop\react-admin-antd\react-admin-hooks\src\assets\react.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\zhangyangli\Desktop\react-admin-antd\react-admin-hooks\src\components\404page\404page.css", "CSS", 0, 0, 0, 0, 99, 0, 12, 111
"c:\Users\zhangyangli\Desktop\react-admin-antd\react-admin-hooks\src\components\404page\404page.tsx", "TypeScript JSX", 0, 0, 17, 0, 0, 0, 1, 18
"c:\Users\zhangyangli\Desktop\react-admin-antd\react-admin-hooks\src\components\Charts\BarChart.tsx", "TypeScript JSX", 0, 0, 96, 0, 0, 1, 4, 101
"c:\Users\zhangyangli\Desktop\react-admin-antd\react-admin-hooks\src\components\Charts\PieChart.tsx", "TypeScript JSX", 0, 0, 46, 0, 0, 0, 1, 47
"c:\Users\zhangyangli\Desktop\react-admin-antd\react-admin-hooks\src\components\Charts\ScatterChart.tsx", "TypeScript JSX", 0, 0, 255, 0, 0, 1, 10, 266
"c:\Users\zhangyangli\Desktop\react-admin-antd\react-admin-hooks\src\components\ClipBoard\ClipBoard.less", "Less", 0, 0, 0, 14, 0, 1, 1, 16
"c:\Users\zhangyangli\Desktop\react-admin-antd\react-admin-hooks\src\components\ClipBoard\ClipBoard.tsx", "TypeScript JSX", 0, 0, 67, 0, 0, 8, 10, 85
"c:\Users\zhangyangli\Desktop\react-admin-antd\react-admin-hooks\src\components\ClipBoard\handlers.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 4, 24
"c:\Users\zhangyangli\Desktop\react-admin-antd\react-admin-hooks\src\components\ClipBoard\type.d.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 2, 18
"c:\Users\zhangyangli\Desktop\react-admin-antd\react-admin-hooks\src\components\DashBoard\Home.less", "Less", 0, 0, 0, 27, 0, 0, 1, 28
"c:\Users\zhangyangli\Desktop\react-admin-antd\react-admin-hooks\src\components\DashBoard\HomeCharts\HomeCharts.tsx", "TypeScript JSX", 0, 0, 368, 0, 0, 0, 4, 372
"c:\Users\zhangyangli\Desktop\react-admin-antd\react-admin-hooks\src\components\DashBoard\TodoList\TodoList.less", "Less", 0, 0, 0, 64, 0, 0, 1, 65
